Number,DOI,year,Material (accurate),Material,RE,RE_C,WE(substrate),Electrolyte,El_conc(M),A_concentration,scan(mV/s),pH,Pot_Onset_V(E_used),Pot_Ox_V(E_used),J__mA_cm2,loading mg_cm-2,Pot_Onset_V (NHE),Pot_Ox_V (NHE),Ox_Onset
13,10.1038/s41467-022-33637-7,2022,NiOOH,Ni_O_OH,RHE,standard,Ni_OH,BB,,"0,01",10,11,"1,46","1,5","1,8",,"0,811","0,851","0,04"
13,10.1038/s41467-022-33637-7,2022,NiOOH,Ni_O_OH,RHE,standard,Ni_OH,BB,,"0,01",10,10,"1,51","1,54","2,15",,"0,92","0,95","0,03"
13,10.1038/s41467-022-33637-7,2022,NiOOH,Ni_O_OH,RHE,standard,Ni_OH,BB,,"0,01",10,9,"1,53","1,56",2,,"0,999","1,029","0,03"
14,10.1002/celc.202200015,2022,Pd/C,Pd_C,NHE,standard,VC,KOH,2,2,20,"13,99","-0,23","0,1","157,6","0,3","-0,23","0,1","0,33"
14,10.1002/celc.202200015,2022,Pd/C,Pd_C,NHE,standard,VC,KOH,2,"1,5",20,"14,07","-0,23","0,094","141,04","0,3","-0,23","0,094","0,324"
14,10.1002/celc.202200015,2022,Pd/C,Pd_C,NHE,standard,VC,KOH,2,1,20,"14,15","-0,23","0,079","131,71","0,3","-0,23","0,079","0,309"
14,10.1002/celc.202200015,2022,Pd/C,Pd_C,NHE,standard,VC,KOH,2,"0,5",20,"14,23","-0,2","0,083","107,09","0,3","-0,2","0,083","0,283"
14,10.1002/celc.202200015,2022,Pd/Mn3O4/C,Pd_Mn_O,NHE,standard,VC,KOH,2,2,20,"13,99","-0,2","0,19","472,9","0,27","-0,2","0,19","0,39"
14,10.1002/celc.202200015,2022,Pd/Mn3O4/C,Pd_Mn_O,NHE,standard,VC,KOH,2,"1,5",20,"14,07","-0,2","0,179","409,18","0,27","-0,2","0,179","0,379"
14,10.1002/celc.202200015,2022,Pd/Mn3O4/C,Pd_Mn_O,NHE,standard,VC,KOH,2,1,20,"14,15","-0,2","0,13","372,45","0,27","-0,2","0,13","0,33"
14,10.1002/celc.202200015,2022,Pd/Mn3O4/C,Pd_Mn_O,NHE,standard,VC,KOH,2,"0,5",20,"14,23","-0,2","0,073","241,83","0,27","-0,2","0,073","0,273"
15,10.1016/j.apcatb.2022.121247,2022,CoOxHy,Co_O_H,Ag/AgCl,Sat.,CC,BB,"0,1","0,05",10,"7,52","1,31","2,1","6,89",,"1,509","2,299","0,79"
15,10.1016/j.apcatb.2022.121247,2022,CoOx,Co_O,Ag/AgCl,Sat.,CC,BB,"0,1","0,05",1,"7,52","1,466666667","1,865079365","2,862745098",,"1,665666667","2,064079365","0,398412698"
15,10.1016/j.apcatb.2022.121247,2022,CoOxHy,Co_O_H,Ag/AgCl,Sat.,CC,BB,"0,1","0,05",1,"7,52","1,56","1,86","2,96",,"1,759","2,059","0,3"
16,10.1039/d2na00724j,2022,CuV (Co10%–CuV),Cu_V_Co,RHE,standard,GCE,KOH,1,"0,2",5,14,"1,39","1,734","77,5",,"0,564","0,908","0,344"
17,10.1007/s12274-023-6288-4,2023,Pt3Sn/hNCNC-10,Pt_Sn_N_C,RHE,standard,CP,KOH,1,"0,2",50,14,"0,52","0,8",33,"0,4","-0,306","-0,026","0,28"
17,10.1007/s12274-023-6288-4,2023,Pt/C(10% wt Pt),Pt_C,RHE,standard,GCE,KOH,1,"0,2",50,14,"0,6","0,83",9,,"-0,226","0,004","0,23"
17,10.1016/j.apcatb.2024.123986,2024,MnO2-CuO/Cupper Foam,Mn_O_Cu,RHE,standard,CF,KOH,1,"0,1",,14,"1,3","1,7","678,57",,"0,474","0,874","0,4"
19,10.1016/j.electacta.2024.144181,2024,Ag80Pt20/C,Ag_Pt_C,RHE,standard,GCE,NaOH,"0,1",1,5,"12,7","0,13","0,88","87,7",,"-0,6193","0,1307","0,75"
19,10.1016/j.electacta.2024.144181,2024,Pt/C(10% wt Pt),Pt_C,RHE,standard,GCE,NaOH,"0,1",1,5,"12,7","0,32","0,735","95,7",,"-0,4293","-0,0143","0,415"
19,10.1016/j.electacta.2024.144181,2024,Ag/C,Ag_C,RHE,standard,GCE,NaOH,"0,1",1,5,"12,7","0,8","1,16","5,56",,"0,0507","0,4107","0,36"
20,10.1021/acsaem.2c00377,2022,PtBiAu/NF,Pt_Bi_Au,RHE,standard,Ni,NaOH,2,2,50,"13,99","0,46","1,29",60,,"-0,36541","0,46459","0,83"
20,10.1021/acsaem.2c00377,2022,PtBi/NF,Pt_Bi,RHE,standard,Ni,NaOH,2,2,50,"13,99","0,5","1,07",36,,"-0,32541","0,24459","0,57"
