Number,DOI,year,Material (accurate),Material,RE,RE_C,WE(substrate),Electrolyte,El_conc(M),A_concentration,scan(mV/s),pH,Pot_Onset_V(E_used),Pot_Ox_V(E_used),J__mA_cm2,loading mg_cm-2,Pot_Onset_V (NHE),Pot_Ox_V (NHE),Ox_Onset
39,10.1016/j.apsusc.2021.149055,2021,PdPt/C,Pd_Pt_C,NHE,standard,GCE,KOH,1,1,20,14,"-0,36","0,2","29,74","0,1486","-0,36","0,2","0,56"
39,10.1016/j.apsusc.2021.149055,2021,PdIr/C,Pd_Ir_C,NHE,standard,GCE,KOH,1,1,20,14,"-0,31","0,0916","13,96","0,1277","-0,31","0,0916","0,4016"
39,10.1016/j.apsusc.2021.149055,2021,PdRu/C,Pd_Ru_C,NHE,standard,GCE,KOH,1,1,20,14,"-0,28","0,09","14,11","0,1177","-0,28","0,09","0,37"
39,10.1016/j.apsusc.2021.149055,2021,Pd/C,Pd_C,NHE,standard,GCE,KOH,1,1,20,14,"-0,25","0,167","15,83","0,15615","-0,25","0,167","0,417"
40,10.1007/s10800-020-01426-z,2020,PtAuPdAg/GE paper,Pt_Au_Pd_Ag,RHE,standard,GE,HClO4,"0,1",1,50,"12,7","0,36","0,66","1,15","0,00008","-0,3893","-0,0893","0,3"
40,10.1007/s10800-020-01426-z,2020,PtAuPdAg/GE paper,Pt_Au_Pd_Ag,RHE,standard,GE,KOH,"0,1",1,50,"12,7","0,54","1,09","8,9","0,00008","-0,2093","0,3407","0,55"
40,10.1007/s10800-020-01426-z,2020,Pt/C/ GE paper,Pt_C,RHE,standard,GE,KOH,"0,1",1,50,"12,7","0,6",1,"0,49","0,00008","-0,1493","0,2507","0,4"
40,10.1007/s10800-020-01426-z,2020,Pt/C/ GE paper,Pt_C,RHE,standard,GE,HClO4,"0,1",1,50,1,"0,65","0,95","0,32","0,00008","0,591","0,891","0,3"
41,10.1002/celc.202300555,2024,Pt52(CeO2)48/C (18 wt%),Pt_Ce_O_C,Hg/HgO,"0,1 NaOH",GCE,NaOH,"0,1","0,5",10,"12,83","-0,4","0,0192","14,075","0,05","-0,54","-0,1208","0,4192"
41,10.1002/celc.202300555,2024,Pt/C (19 wt % ),Pt_C,Hg/HgO,"0,1 NaOH",GCE,NaOH,"0,1","0,5",10,"12,83","-0,4","-0,0365","8,03","0,1","-0,54","-0,1765","0,3635"
42,10.1016/j.ijhydene.2020.07.150,2020,Pd58Cu32Ir10 NCs,Pd_Cu_Ir,Ag/AgCl,Sat.,GCE,KOH,1,1,50,14,"-0,3","-0,08095","79,5398","0,031","-0,101","0,11805","0,21905"
43,10.1039/d0nj03219k,2020,AuCeO2/C,Au_Ce_O_C,Ag/AgCl,Sat.,GCE,NaOH,"0,5",1,50,"13,45","-0,2","0,723","61,93","0,71","-0,001","0,922","0,923"
43,10.1039/d0nj03219k,2020,Au/C,Au_C,Ag/AgCl,Sat.,GCE,NaOH,"0,5",1,50,"13,45","-0,1","0,6564","23,1","0,78","0,099","0,8554","0,7564"
44,10.1002/slct.202001561,2020,NiCuFe-ANPs/ERGO/CE,Ni_Cu_Fe_rGO,Ag/AgCl,Sat.,CC,KOH,"0,1","0,005",50,"12,99","0,36","0,8","170,35",,"0,559","0,999","0,44"
44,10.1002/slct.202001562,2020,NiCuFe-ANPs/CE,Ni_Cu_Fe,Ag/AgCl,Sat.,CC,KOH,"0,1","0,005",50,"12,99","0,41","0,82","145,32",,"0,609","1,019","0,41"
44,10.1002/slct.202001563,2020,NiCu/ERGO/CE,Ni_Cu_rGO,Ag/AgCl,Sat.,CC,KOH,"0,1","0,005",50,"12,99","0,42","0,81","137,14",,"0,619","1,009","0,39"
44,10.1002/slct.202001564,2020,NiFe/ERGO/CE,Ni_Fe_rGO,Ag/AgCl,Sat.,CC,KOH,"0,1","0,005",50,"12,99","0,45","0,83","119,25",,"0,649","1,029","0,38"
